Prompt1	Observation	Sql query	Sql Result	Human Response	Prompt2		
How many distinct species are there at Monterey Bay?	"The species is asking for number of distinct species in Monterey Bay, so use the bounding_boxes and marine_regions table from database to find the number of species
"	"{
    ""sqlServerQuery"": ""SELECT COUNT(DISTINCT b.concept) as DistinctSpeciesCount FROM dbo.bounding_boxes b WHERE EXISTS (     SELECT 1     FROM dbo.images i     JOIN dbo.marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude                              AND i.longitude BETWEEN mr.min_longitude AND mr.max_longitude     WHERE mr.name = 'Monterey Bay'       AND i.id = b.image_id ) FOR JSON PATH"",
    ""outputType"": ""text"",
    ""responseText"": ""There are {DistinctSpeciesCount} distinct species at Monterey Bay""
}"	"DistinctSpeciesCount
711"				
"Find me images of Aurelia aurita that looks good
"	"The prompt asks for images of individual species so, You need to find the images from the database so you need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id.
Since the prompt is asking for image that looks good without specifying what type of image would look good, find images that has highest bounding box width, height to image width, height ratio and show 10 top results
"	"{
    ""sqlServerQuery"": ""SELECT TOP 10 i.url, b.concept, b.id, i.id as image_id FROM dbo.bounding_boxes AS b JOIN dbo.images AS i ON b.image_id = i.id WHERE b.concept = 'Aurelia aurita' ORDER BY (b.width * b.height) / (i.width * i.height) DESC FOR JSON PATH"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are some good images of Aurelia Aurita""
}"	"[
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/3082\/05_02_20_21.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590274,
        ""image_id"": 2590272
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/2934\/05_23_41_12.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2589498,
        ""image_id"": 2589496
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/0893\/06_13_15_15.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2588038,
        ""image_id"": 2588036
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/3082\/04_59_42_11.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2587744,
        ""image_id"": 2587742
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0199\/00_01_04_07.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586298,
        ""image_id"": 2586296
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586156,
        ""image_id"": 2586149
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586155,
        ""image_id"": 2586149
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586154,
        ""image_id"": 2586149
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586153,
        ""image_id"": 2586149
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586152,
        ""image_id"": 2586149
    }
]"				
Give data of all species in Monterey Bay to show in a heatmap	"The prompt asks to give data of all species in Monterey Bay to show in a heatmap. Since I am instructed not to use vega for heatmap, I will find the species from the database so you need to format the output such that it is a json and has species array that has species concept as concept and species bounding box id as id.
Also since the data will be shown in a heatmap, location data is very important, so you will add the latitude, longitude and depth data of the species. "	"{
    ""sqlServerQuery"": ""SELECT    b.concept,    b.id,    i.latitude,    i.longitude,    i.depth_metersFROM    dbo.bounding_boxes b    JOIN dbo.images i ON b.image_id = i.id    JOIN dbo.marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude        AND i.longitude BETWEEN mr.min_longitude AND mr.max_longitudeWHERE    mr.name = 'Monterey Bay'FOR JSON PATH"",
    ""outputType"": ""heatmap"",
    ""responseText"": ""Here is the heatmap of all species at Monterey Bay""
}"	"[
    {
        ""concept"": ""Beringraja rhina"",
        ""id"": 2343675,
        ""latitude"": 3.658101500000000e+001,
        ""longitude"": -1.220103770000000e+002,
        ""depth_meters"": 2.918299865722656e+002
    },
    {
        ""concept"": ""Asteroidea"",
        ""id"": 2416979,
        ""latitude"": 3.658115600000000e+001,
        ""longitude"": -1.220557880000000e+002,
        ""depth_meters"": 9.054000244140625e+002
    },
    ...
]"				
Find me a place where Aurelia aurita is found the most	"Since the prompt is asking about the place where Aurelia aurita is found the most without specifying any region, you can use the marine_regions table along with the bounding_boxes table to find out the number of that species in a region. After that you can sort the data and get the result.
"	"{
    ""sqlServerQuery"": ""SELECT TOP 1 mr.name as region_name, COUNT(bb.id) as count FROM dbo.bounding_boxes bb JOIN dbo.images i ON bb.image_id = i.id JOIN dbo.marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude AND i.longitude BETWEEN mr.min_longitude AND mr.max_longitude WHERE bb.concept = 'Aurelia aurita' GROUP BY mr.name ORDER BY count DESC FOR JSON PATH"",
    ""outputType"": ""text"",
    ""responseText"": ""Aurelia aurita is found the most in the region {region name} and it's count is {count}""
}"	"region_name COUNT
California Current	110"				
Provide the data that correlates salinity levels with the distribution of Aurelia aurita	"The prompt asks to find correlation between salinity levels with the distribution of Aurelia aurita. Since the prompt does not provide the salinity levels, use the salinity level normally used to understand ocean water salinity level. So, use levels <32, 32-33, 33-34, 34-35, 35-36, 36-37, >37
Use these region to find out, the distribution of the species in these regions. Also, make sure you include the 0 values, which will help user better understand that some region donot have the species.
"	"{
    ""sqlServerQuery"": ""WITH SalinityLevels AS (     SELECT '<32' AS salinity_level     UNION ALL     SELECT '32-33'     UNION ALL     SELECT '33-34'     UNION ALL     SELECT '34-35'     UNION ALL     SELECT '35-36'     UNION ALL     SELECT '36-37'     UNION ALL     SELECT '>37' ), AggregatedData AS (     SELECT          CASE              WHEN images.salinity < 32 THEN '<32'             WHEN images.salinity BETWEEN 32 AND 33 THEN '32-33'             WHEN images.salinity BETWEEN 33 AND 34 THEN '33-34'             WHEN images.salinity BETWEEN 34 AND 35 THEN '34-35'             WHEN images.salinity BETWEEN 35 AND 36 THEN '35-36'             WHEN images.salinity BETWEEN 36 AND 37 THEN '36-37'             WHEN images.salinity > 37 THEN '>37'         END AS salinity_level,         COUNT(bounding_boxes.concept) AS species_count     FROM          dbo.images     JOIN          dbo.bounding_boxes ON images.id = bounding_boxes.image_id     WHERE          bounding_boxes.concept = 'Aurelia aurita'     AND          images.salinity IS NOT NULL     GROUP BY          CASE              WHEN images.salinity < 32 THEN '<32'             WHEN images.salinity BETWEEN 32 AND 33 THEN '32-33'             WHEN images.salinity BETWEEN 33 AND 34 THEN '33-34'             WHEN images.salinity BETWEEN 34 AND 35 THEN '34-35'             WHEN images.salinity BETWEEN 35 AND 36 THEN '35-36'             WHEN images.salinity BETWEEN 36 AND 37 THEN '36-37'             WHEN images.salinity > 37 THEN '>37'         END ) SELECT      sl.salinity_level,     COALESCE(ad.species_count, 0) AS species_count FROM      SalinityLevels sl LEFT JOIN      AggregatedData ad ON sl.salinity_level = ad.salinity_level ORDER BY      salinity_level FOR JSON PATH;"",
    ""outputType"": ""table"",
    ""responseText"": ""The table below shows the salinity levels and the distribution of Aurelia aurita""
}"	"salinity_level species_count
<32	0
>37	0
32-33	1
33-34	100
34-35	9
35-36	0
36-37	0"				
"Provide the data that correlates depth with the distribution of Aurelia aurita
"	"The prompt asks the correlation between depth with the distribution of Aurelia aurita. Since you are asked about depth, without providing the level of depths, it is better to use normal ocean depth levels like Epipelagic (0-200m), Mesopelagic (200-1000m), Bathypelagic (1000-4000m), Abyssopelagic (4000-6000m) and Hadalpelagic (>6000m).
Use these region to find out, the number of the species in these regions. Also, make sure you include the 0 values, which will help user better understand that some region donot have the species.
"	"{
    ""sqlServerQuery"": ""WITH DepthLevels AS (    SELECT 'Epipelagic (0-200m)' AS depth_level, 0 AS min_depth, 200 AS max_depth    UNION ALL    SELECT 'Mesopelagic (200-1000m)', 200, 1000    UNION ALL    SELECT 'Bathypelagic (1000-4000m)', 1000, 4000    UNION ALL    SELECT 'Abyssopelagic (4000-6000m)', 4000, 6000    UNION ALL    SELECT 'Hadalpelagic (>6000m)', 6001, 1000000  -- assuming a large max value to capture everything > 6000),AggregatedData AS (    SELECT         CASE             WHEN images.depth_meters BETWEEN 0 AND 200 THEN 'Epipelagic (0-200m)'            WHEN images.depth_meters BETWEEN 200 AND 1000 THEN 'Mesopelagic (200-1000m)'            WHEN images.depth_meters BETWEEN 1000 AND 4000 THEN 'Bathypelagic (1000-4000m)'            WHEN images.depth_meters BETWEEN 4000 AND 6000 THEN 'Abyssopelagic (4000-6000m)'            WHEN images.depth_meters > 6000 THEN 'Hadalpelagic (>6000m)'        END AS depth_level,        COUNT(bounding_boxes.id) AS distribution    FROM         images     JOIN         bounding_boxes     ON         images.id = bounding_boxes.image_id    WHERE         bounding_boxes.concept = 'Aurelia aurita'    AND         images.depth_meters IS NOT NULL    GROUP BY         CASE             WHEN images.depth_meters BETWEEN 0 AND 200 THEN 'Epipelagic (0-200m)'            WHEN images.depth_meters BETWEEN 200 AND 1000 THEN 'Mesopelagic (200-1000m)'            WHEN images.depth_meters BETWEEN 1000 AND 4000 THEN 'Bathypelagic (1000-4000m)'            WHEN images.depth_meters BETWEEN 4000 AND 6000 THEN 'Abyssopelagic (4000-6000m)'            WHEN images.depth_meters > 6000 THEN 'Hadalpelagic (>6000m)'        END)SELECT     dl.depth_level,     COALESCE(ad.distribution, 0) AS distributionFROM     DepthLevels dlLEFT JOIN     AggregatedData ad ON dl.depth_level = ad.depth_levelORDER BY     dl.min_depth FOR JSON PATH;"",
    ""outputType"": ""table"",
    ""responseText"": ""The table below displays the various depths and the corresponding distribution of Aurelia aurita at those depths.""
}"	"depth_level distribution
Epipelagic (0-200m)	110
Mesopelagic (200-1000m)	0
Bathypelagic (1000-4000m)	0
Abyssopelagic (4000-6000m)	0
Hadalpelagic (>6000m)	0"				
"Find place that has the highest temperature and species that is found the most at that place
"	"You need to find the detail of specific species from the database. So you need to format the output such that it is a json and has species array that has species concept as concept and species bounding box id as id
The prompt has two section, first is to find the place that has the highest temperature. Since the prompt does not talk about how we should define a place, you should use the regions table and its minimum latitude/longitude. To find maximum temperature in a particular region, we should take the average of all temperature in images data in that region
Once the region with highest temperature is found out, now you should use the region minimum latitude, minimum longitude, maximum latitude, maximum longitude data to find the most found species in the region. 
After the species data is found, you need to generate output data in the json format and should have species concept as concept and species bounding box id as id. Also since the prompt is asking about maximum temperature and species count, add maximum temperature and species count in the response
"	"{
    ""sqlServerQuery"": ""WITH RegionAvgTemp AS (     SELECT          r.name as region_name,         AVG(i.temperature_celsius) as avg_temperature     FROM dbo.images i     JOIN dbo.marine_regions r ON          i.latitude BETWEEN r.min_latitude AND r.max_latitude AND         i.longitude BETWEEN r.min_longitude AND r.max_longitude     GROUP BY r.name ), MaxTempRegion AS (     SELECT TOP 1 region_name, avg_temperature     FROM RegionAvgTemp     ORDER BY avg_temperature ASC ), MostFoundSpecies AS (     SELECT          b.concept,          COUNT(*) as count     FROM dbo.bounding_boxes b     JOIN dbo.images i ON b.image_id = i.id     JOIN dbo.marine_regions r ON          i.latitude BETWEEN r.min_latitude AND r.max_latitude AND         i.longitude BETWEEN r.min_longitude AND r.max_longitude     JOIN MaxTempRegion m ON r.name = m.region_name     GROUP BY b.concept ) SELECT TOP 1 bb.id, mfs.concept, mfs.count, mtr.avg_temperature, mtr.region_name FROM MostFoundSpecies mfs JOIN dbo.bounding_boxes bb ON bb.concept = mfs.concept JOIN MaxTempRegion mtr ON 1=1 ORDER BY mfs.count ASC FOR JSON PATH;"",
    ""outputType"": ""table"",
    ""responseText"": ""The table below displays the various depths and the corresponding distribution of Aurelia aurita at those depths.""
}"	"[
    {
        ""id"": 2281439,
        ""concept"": ""Brachyura"",
        ""count"": 1,
        ""avg_temperature"": -2.280888888888891e+000,
        ""region_name"": ""American Samoa Exclusive Economic Zone""
    }
]"				
"Find the species that are found in image with id 2256720
"	"You need to find the detail of specific species in an image from the database. So you need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id
So, you need to search image table and bounding_boxes table using image id 2256720"	"{
    ""sqlServerQuery"": ""SELECT b.concept, b.id, i.id as image_id, i.url as url FROM dbo.bounding_boxes AS b JOIN dbo.images AS i ON b.image_id = i.id WHERE b.image_id = 2256720 FOR JSON PATH;"",
    ""outputType"": ""species"",
    ""responseText"": ""The species that are found in image with id 2256720 are shown below""
}"	"[
    {
        ""concept"": ""Bathochordaeus stygius"",
        ""id"": 2258718,
        ""image_id"": 2256720,
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0869\/04_21_41_29.png""
    },
    {
        ""concept"": ""Bathochordaeus stygius"",
        ""id"": 2258719,
        ""image_id"": 2256720,
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0869\/04_21_41_29.png""
    }
]"				
Find the species that is found in bounding box table with id 2258719	"You need to find the detail of specific species from the database. So you need to format the output such that it is a json and has species array that has species concept as concept and species bounding box id as id
"	"{
    ""sqlServerQuery"": ""SELECT concept, id FROM dbo.bounding_boxes  WHERE id = 2258719 FOR JSON PATH;"",
    ""outputType"": ""species"",
    ""responseText"": ""The species with bounding box id 2258719 is shown below""
}"	"[
    {
        ""concept"": ""Bathochordaeus stygius"",
        ""id"": 2258719
    }
]"				
Identify the two species that most frequently appear together within a single image	"You need to find out any two species which are found the most in a single image, so you need to combine the bounding_boxes and compare the image_id of the two species.
"	"SELECT TOP 1
    bb1.concept AS species1, 
    bb2.concept AS species2, 
    COUNT(*) AS frequency
FROM 
    dbo.bounding_boxes AS bb1
JOIN 
    dbo.bounding_boxes AS bb2 
ON 
    bb1.image_id = bb2.image_id AND bb1.concept < bb2.concept
GROUP BY 
    bb1.concept, 
    bb2.concept"	"species1 species2 frequency
Rathbunaster californicus	Strongylocentrotus fragilis	4529"				
Provide an image showcasing the highest concentration of Bathochordaeus stygius	"You need to find the image from the database so you need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id
Also in this query asks for image that has many species within a single image, it would be better to include bounding box detail(x, y, width, height) of species
So, you will first find out the image that contains highest conceentration of the species. Once you get that data, you will format the result such that it is a json array with species id, image url, image_id and concept
"	"{
    ""sqlServerQuery"": ""WITH HighestConcentrationImage AS (    SELECT TOP 1        i.id as image_id,        COUNT(b.id) as concentration    FROM        dbo.images i    JOIN        dbo.bounding_boxes b ON i.id = b.image_id    WHERE        b.concept = 'Bathochordaeus stygius' OR b.alt_concept = 'Bathochordaeus stygius'    GROUP BY        i.id    ORDER BY        concentration DESC)SELECT     b.id,    b.concept,    i.url,    i.id as image_id,    b.x,    b.y,    b.width,    b.heightFROM     dbo.images iJOIN     dbo.bounding_boxes b ON i.id = b.image_idJOIN     HighestConcentrationImage hci ON hci.image_id = i.idWHERE     b.concept = 'Bathochordaeus stygius'FOR JSON PATH"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are some images showcasing the highest concentration of Bathochordaeus stygius""
}"	"[
    {
        ""id"": 2497449,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 264,
        ""y"": 64,
        ""width"": 292,
        ""height"": 226
    },
    {
        ""id"": 2497450,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 376,
        ""y"": 261,
        ""width"": 143,
        ""height"": 102
    },
    {
        ""id"": 2497451,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 431,
        ""y"": 309,
        ""width"": 17,
        ""height"": 21
    },
    {
        ""id"": 2497452,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 120,
        ""y"": 44,
        ""width"": 236,
        ""height"": 205
    },
    {
        ""id"": 2497453,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 230,
        ""y"": 160,
        ""width"": 17,
        ""height"": 7
    },
    {
        ""id"": 2497454,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 224,
        ""y"": 151,
        ""width"": 32,
        ""height"": 16
    },
    {
        ""id"": 2497455,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 407,
        ""y"": 192,
        ""width"": 12,
        ""height"": 13
    },
    {
        ""id"": 2497456,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 395,
        ""y"": 176,
        ""width"": 23,
        ""height"": 31
    },
    {
        ""id"": 2497457,
        ""concept"": ""Bathochordaeus stygius"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0547\/11_28_15_08.png"",
        ""image_id"": 2495378,
        ""x"": 439,
        ""y"": 320,
        ""width"": 9,
        ""height"": 11
    }
]
"				
In what pressure level is the species with bounding box id 2258729 living at	"You need to find the pressure level the species with bounding box id 2258729 living at so you can find it by first finding the image data such that it has image id same as the bounding box image id and then find the value that is in the pressure_dbar column
"	"{
    ""sqlServerQuery"": ""SELECT images.pressure_dbar FROM dbo.bounding_boxes JOIN dbo.images ON bounding_boxes.image_id = images.id WHERE bounding_boxes.id = 2258739 FOR JSON PATH"",
    ""outputType"": ""text"",
    ""responseText"": ""The species with bounding box id 2258729 living at pressure {pressure_dbar} dbar""
}"	"pressure_dbar
875.7999877929688"				
Display a pie chart that correlates salinity levels with the distribution of Bathochordaeus stygius categorizing salinity levels from 30 to 38 with each level of width 1	"The prompt asks to display a chart, I will be using vega lite to display it. I should first generate the vega lite schema and then generate a sql query that outputs the data that will be used by vega lite according to the schema"	"{
    ""vegaSchema"": ""{    '$schema': 'https://vega.github.io/schema/vega-lite/v4.json',    'description': 'A pie chart showing the correlation between salinity levels and the distribution of Bathochordaeus stygius.',    'mark': 'arc',    'encoding': {        'theta': {'field': 'count', 'type': 'quantitative'},        'color': {'field': 'salinity_range', 'type': 'nominal'}    }}"",
    ""sqlServerQuery"": ""SELECT      CASE          WHEN salinity >= 30 AND salinity < 31 THEN '30-31'         WHEN salinity >= 31 AND salinity < 32 THEN '31-32'         WHEN salinity >= 32 AND salinity < 33 THEN '32-33'         WHEN salinity >= 33 AND salinity < 34 THEN '33-34'         WHEN salinity >= 34 AND salinity < 35 THEN '34-35'         WHEN salinity >= 35 AND salinity < 36 THEN '35-36'         WHEN salinity >= 36 AND salinity < 37 THEN '36-37'         WHEN salinity >= 37 AND salinity < 38 THEN '37-38'     END AS salinity_range,     COUNT(*) AS count FROM      dbo.images AS i JOIN      dbo.bounding_boxes AS b ON i.id = b.image_id WHERE      b.concept = 'Bathochordaeus stygius'     AND salinity >= 30 AND salinity < 38 GROUP BY      CASE          WHEN salinity >= 30 AND salinity < 31 THEN '30-31'         WHEN salinity >= 31 AND salinity < 32 THEN '31-32'         WHEN salinity >= 32 AND salinity < 33 THEN '32-33'         WHEN salinity >= 33 AND salinity < 34 THEN '33-34'         WHEN salinity >= 34 AND salinity < 35 THEN '34-35'         WHEN salinity >= 35 AND salinity < 36 THEN '35-36'         WHEN salinity >= 36 AND salinity < 37 THEN '36-37'         WHEN salinity >= 37 AND salinity < 38 THEN '37-38'     END ORDER BY      salinity_range FOR JSON PATH;"",
    ""outputType"": ""vegaLite"",
    ""responseText"": ""The table below displays the various depths and the corresponding distribution of Aurelia aurita at those depths.""
}"					
"Provide me few images of Asterias rubens, Acanthaster planci, Linckia laevigata, Protoreaster nodosus, Pycnopodia helianthoides
"	"You need to find the images from the database so you need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id
Since there may be many images in the database and the image count is not provided, you will search for only 5 images
You will search for the species in bounding boxes table with provided concepts and format it such that it has species id, image url, image_id and concept"	"{
    ""sqlServerQuery"": ""SELECT TOP 5    i.url AS url,    b.concept AS concept,    b.id as id,    b.image_id as image_idFROM     dbo.bounding_boxes AS bJOIN     dbo.images AS i ON b.image_id = i.idWHERE     b.concept IN ('Asterias rubens', 'Acanthaster planci', 'Linckia laevigata', 'Protoreaster nodosus', 'Pycnopodia helianthoides')FOR JSON PATH"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are few images of Asterias rubens, Acanthaster planci, Linckia laevigata, Protoreaster nodosus, Pycnopodia helianthoides""
}"	"[
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/2987\/03_37_12_17.png"",
        ""concept"": ""Pycnopodia helianthoides"",
        ""id"": 2370352,
        ""image_id"": 2368076
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/2987\/02_15_00_13.png"",
        ""concept"": ""Pycnopodia helianthoides"",
        ""id"": 2450919,
        ""image_id"": 2448715
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/3488\/03_52_48_07.png"",
        ""concept"": ""Pycnopodia helianthoides"",
        ""id"": 2474652,
        ""image_id"": 2472626
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/3580\/06_23_04_25.png"",
        ""concept"": ""Pycnopodia helianthoides"",
        ""id"": 2522769,
        ""image_id"": 2520579
    }
]"				
Generate me a scatterplot showing the correlating the oxygen and pressure level	"The prompt asks to display a chart, I will be using vega lite to display it. I should first generate the vega lite schema and then generate a sql query that outputs the data that will be used by vega lite according to the schema"	"{
    ""outputType"": ""vegaLite"",
    ""vegaSchema"": {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v4.json"",
        ""description"": ""Scatterplot showing depth to oxygen level data for Strongylocentrotus fragilis in Monterey Bay"",
        ""mark"": ""point"",
        ""encoding"": {
            ""x"": {""field"": ""depth"", ""type"": ""quantitative""},
            ""y"": {""field"": ""oxygen"", ""type"": ""quantitative""}
        }
    },
    ""responseText"": """",
    ""sqlServerQuery"": ""SELECT images.depth_meters AS depth, images.oxygen_ml_l AS oxygen FROM images JOIN bounding_boxes ON images.id = bounding_boxes.image_id WHERE bounding_boxes.concept = 'Strongylocentrotus fragilis' AND images.latitude >= (SELECT min_latitude FROM marine_regions WHERE name = 'Monterey Bay') AND images.latitude <= (SELECT max_latitude FROM marine_regions WHERE name = 'Monterey Bay') AND images.longitude >= (SELECT min_longitude FROM marine_regions WHERE name = 'Monterey Bay') AND images.longitude <= (SELECT max_longitude FROM marine_regions WHERE name = 'Monterey Bay') FOR JSON PATH""
}"					
"How many images of Pycnopodia helianthoides are in the database
"	"You need to provide the total number of images of species Pycnopodia helianthoides in the database.
So, you will search the bounding box table that has a row with concept 'Pycnopodia helianthoides'
"	"{
    ""sqlServerQuery"": ""SELECT COUNT(*) as TotalImages FROM dbo.bounding_boxes  WHERE concept = 'Pycnopodia helianthoides' FOR JSON PATH;"",
    ""outputType"": ""text"",
    ""responseText"": ""There are {TotalImages} images of Pycnopodia helianthoides are in the database""
}"	"TotalImages
4"				
