,concepts,description,related
25,Acanthephyra sp.,"Acanthephyra is a genus of shrimp in the family Acanthephyridae, with species that live at depths from 0 to more than 5000 meters deep below the ocean surface.","Acanthephyra purpurea, Crustacean larva, Bioluminescence, Oplophoridae"
26,Acanthogorgia,"Acanthogorgia is a genus of corals belonging to the family Acanthogorgiidae. The genus has cosmopolitan distribution. Alcyonacea are a species of sessile colonial cnidarians that are found throughout the oceans of the world, especially in the deep sea, polar waters, tropics and subtropics. Whilst not in a strict taxonomic sense, Alcyonacea are commonly known as ""soft corals"" (Octocorallia) that are quite different from ""true"" corals (Scleractinia).","Seahorse, Pygmy seahorse, Acanthogorgiidae, Tritonia hirondelle"
27,Acanthogorgia sp.,"Acanthogorgia is a genus of corals belonging to the family Acanthogorgiidae. The genus has cosmopolitan distribution. Alcyonacea are a species of sessile colonial cnidarians that are found throughout the oceans of the world, especially in the deep sea, polar waters, tropics and subtropics. Whilst not in a strict taxonomic sense, Alcyonacea are commonly known as ""soft corals"" (Octocorallia) that are quite different from ""true"" corals (Scleractinia).","Seahorse, Pygmy seahorse, Acanthogorgiidae, Tritonia hirondelle"
28,Acanthonus armatus,"The bony-eared assfish (Acanthonus armatus) is a bathypelagic species of cusk-eel found in tropical and sub-tropical oceans at depths of from 1,171 to 4,415 metres (3,842 to 14,485 ft). It has been found as far north as Queen Charlotte Sound off British Columbia's coast.","Demersal fish, Pelagic fish, Brain–body mass ratio, Fish intelligence"
29,Acanthopathes,"Acanothopathes is a genus of coral in the family Aphanipathidae that contains five species. Species in this genus are found in the Caribbean Sea, Indian Ocean, and Pacific Ocean in temperatures ranging from about 10 to 30 degrees celsius at depths from 50 to 400 meters.","Aphanipathidae, Black coral"
30,Acanthoptilum,"Virgulariidae is a family of sea pens, a member of the subclass Octocorallia in the phylum Cnidaria. Virgulariidae is a family of sea pens, a member of the subclass Octocorallia in the phylum Cnidaria.","Sea pen, Feathery sea pen, Virgularia, Slender sea pen"
31,Acanthurus xanthopterus,"The yellowfin surgeonfish or Cuvier's surgeonfish (Acanthurus xanthopterus) is one of several marine fish that change color as they get older. This characteristic confused fish identification, and originally put the young and adults in different species.","Acanthurus, Acanthurus dussumieri, Acanthuridae, List of marine aquarium fish species"
32,Acesta,Acesta  is a genus of marine bivalve molluscs in the family Limidae. Paraonidae is a family of polychaetes belonging to the order Cirratulida.,"Tigridia acesta, Acesta vitrina, Eupterote acesta, Segesta"
33,Acesta mori,Acesta  is a genus of marine bivalve molluscs in the family Limidae. Acesta  is a genus of marine bivalve molluscs in the family Limidae. Paraonidae is a family of polychaetes belonging to the order Cirratulida.,Lepidoptera in the 10th edition of Systema Naturae
34,Acesta sphoni,Acesta  is a genus of marine bivalve molluscs in the family Limidae. Acesta  is a genus of marine bivalve molluscs in the family Limidae. Paraonidae is a family of polychaetes belonging to the order Cirratulida.,"Tigridia acesta, Acesta vitrina, Eupterote acesta, Segesta"
35,Actinaria,"Sea anemones are a group of predatory marine invertebrates constituting the order Actiniaria. Because of their colourful appearance, they are named after the Anemone, a terrestrial flowering plant.","Cnidaria, Heteractis magnifica, List of least concern invertebrates, List of endangered invertebrates"
36,Actinauge verrillii,Hormathiidae is a family of sea anemones in the class Anthozoa. Hormathiidae is a family of sea anemones in the class Anthozoa. Metridioidea is a superfamily of sea anemones in the order Actiniaria. The Enthemonae is a suborder of sea anemones in the order Actiniaria. It comprises those sea anemones with typical arrangement of mesenteries for actiniarians.,List of marine cnidarians of South Africa
37,Actinernus,"Actinernidae is a family of sea anemones. It contains the following genera and species:Actinernus Verrill, 1879. Actinernidae is a family of sea anemones. It contains the following genera and species:Actinernus Verrill, 1879.",Venus flytrap sea anemone
38,Actinernus nobilis,"Actinernidae is a family of sea anemones. It contains the following genera and species:Actinernus Verrill, 1879. Actinernidae is a family of sea anemones. It contains the following genera and species:Actinernus Verrill, 1879.",Venus flytrap sea anemone
39,Actiniaria,"Sea anemones are a group of predatory marine invertebrates constituting the order Actiniaria. Because of their colourful appearance, they are named after the Anemone, a terrestrial flowering plant.","Order (biology), Adamsia, List of sea anemone families, List of animals of Long Island Sound"
40,Actiniidae,"Actiniidae is the largest family of sea anemones, to which most common, temperate, shore species belong. Most members of this family do not participate in symbioses with fishes.","Actinia, Anemonia, Anthopleura xanthogrammica, List of sea anemone families"
41,Actiniidae sp. 1,"Actiniidae is the largest family of sea anemones, to which most common, temperate, shore species belong. Most members of this family do not participate in symbioses with fishes.","Actinia, Anemonia, Anthopleura xanthogrammica, List of sea anemone families"
42,Actinopteri,Actinopteri  is the sister group of Cladistia (bichirs) in the class Actinopterygii (ray-finned fish).,"Bichir, Actinopterygii, Euteleostomi, Eel"
43,Actinopterygii,"Actinopterygii (; from  actino- 'having rays', and Ancient Greek  πτέρυξ (ptérux) 'wing, fins'), members of which are known as ray-finned fish or actinopterygians, is a class of bony fish that comprise over 50% of living vertebrate species. They are so called because of their lightly built fins made of webs of skin supported by radially extended bony spines, as opposed to the bulkier, fleshy lobed fins of the sister class Sarcopterygii (lobe-finned fish).","Deevirus, Osteichthyes, Fish, Euteleostomi"
44,Actinoscyphia,Actinoscyphia is a genus of sea anemones of the family Actinoscyphiidae. Actinoscyphiidae is a family of sea anemones. Metridioidea is a superfamily of sea anemones in the order Actiniaria. The Enthemonae is a suborder of sea anemones in the order Actiniaria. It comprises those sea anemones with typical arrangement of mesenteries for actiniarians.,"Venus flytrap sea anemone, Actinoscyphiidae, Echinus tylodes, List of examples of convergent evolution"
45,Actinostolidae,"Actinostolidae is a family of sea anemones in the order Actiniaria. Members of this family are deep sea species, with some occurring at hydrothermal vents. Actinostoloidea is a superfamily of sea anemones in the order Actiniaria. Families in the superfamily Actinostoloidea include:.","Decorator crab, Actinostoloidea, Stomphia coccinea, List of sea anemone families"
46,Actinostoloidea,Actinostoloidea is a superfamily of sea anemones in the order Actiniaria. Families in the superfamily Actinostoloidea include:. The Enthemonae is a suborder of sea anemones in the order Actiniaria. It comprises those sea anemones with typical arrangement of mesenteries for actiniarians.,"Sea anemone, Anenthemonae, Enthemonae, List of sea anemone families"
47,ADCP,ADCP equipment, 
48,Aegidae,"The Aegidae are a family of isopod crustaceans. The adults are temporary parasites of fish, feeding on their hosts' blood before dropping off to digest the meal.","Isopoda, Rocinela, Aega (crustacean), Squatina squatina"
49,Aegina,Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species. Narcomedusae is an order of hydrozoans in the subclass Trachylinae. Members of this order do not normally have a polyp stage.,"Narcomedusae, Aegina rosea, Aeginopsis, Bathykorus"
50,Aegina citrea,Aegina citrea is a species of deep sea hydrozoan of the family Aeginidae. Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species. Narcomedusae is an order of hydrozoans in the subclass Trachylinae. Members of this order do not normally have a polyp stage.,"Aegina (genus), Ctenophora, Cydippida, List of marine cnidarians of South Africa"
51,Aegina rosea,"Aegina rosea is a species of hydrozoan of the family Aeginidae. It is one of two species in the genus Aegina, which was believed to be monotypic, until molecular phylogenetic analysis revealed that Aegina rosea was a second species.","Aegina (genus), List of butterflies of Sulawesi"
52,Aeginona,Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species. Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species.,"Narcomedusae, Aegina rosea, Aeginopsis, Bathykorus"
53,Aeginona sp.,Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species. Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species.,"Narcomedusae, Aegina rosea, Aeginopsis, Bathykorus"
54,Aeginura,Aeginura is a genus of hydrozoans in the family Aeginidae. Aeginidae is a family of hydrozoans in the order Narcomedusae. The family comprises 6 genera and 8 species. Narcomedusae is an order of hydrozoans in the subclass Trachylinae. Members of this order do not normally have a polyp stage.,"Aeginura grimaldii, Narcomedusae, Ernst Haeckel, List of organisms named after famous people (born 1800–1899)"
55,Aeolidiidae sp. 1,"Aeolidiidae, a family of aeolid nudibranchs, are a family of sea slugs, shell-less marine gastropod molluscs. Most, or perhaps all, members of this family feed on sea anemones and have a distinctive single row of comb-shaped serrated radular teeth.","Nudibranch, Berghia coerulescens, Phidiana militaris, Aeolidia"
56,Aequorea,"Aequorea victoria, also sometimes called the crystal jelly, is a bioluminescent hydrozoan jellyfish, or hydromedusa, that is found off the west coast of North America.","Aequorea, Aequorea forskalea, Green fluorescent protein, Aequorea vitrina"
57,Aequorea aequorea,"Aequorea victoria, also sometimes called the crystal jelly, is a bioluminescent hydrozoan jellyfish, or hydromedusa, that is found off the west coast of North America.","Aequorea forskalea, Aequorea, Green fluorescent protein, Aequorea vitrina"
58,Agalma,"Agalmatidae, or Agalmidae, is a family of siphonophores. Physonectae is a suborder of siphonophores. In Japanese it is called 胞泳 (hōei). Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.","Agalma, Siphonophorae, Agalma (cnidarian), Nanomia bijuga"
59,Aglantha,"Aglantha is a genus of deep-sea hydrozoans of the family Rhopalonematidae. Rhopalonematidae is a family of hydrozoans. The family comprises 15 genera and 36 species. Trachymedusae belong to the phylum Cnidaria and the class Hydrozoa, among the 30 genera are 5 families containing around 50 species in all, the family Rhopalonematidae has the greatest diversity.","Aglaura hemistoma, Aglantha digitale, Cephalization, George Owen Mackie"
60,Aglantha digitale,Aglantha digitale is a species of hydrozoan in the family Rhopalonematidae. It is found in the Arctic and sub-Arctic where it is one of the most common jellyfish.,Aglantha
61,Agonidae,"Agonidae is a family of small, bottom-dwelling, cold-water marine fish. Common names for members of this family include poachers, Irish lords, sea ravens, alligatorfishes, starsnouts, hooknoses, and rockheads.","Sculpin, Agonomalus jordani, Hemitripterinae, Bothragonus occidentalis"
62,Agononida,"Agononida is a genus of squat lobsters in the family Munididae. In 2022, recognizing that the genus as then defined was paraphyletic, it was divided into three lineages: Agononida sensu stricto and two new genera, Garymunida and Hexamunida.","Agononida incerta, Agononida eminens, Agononida alisae, Agononida marini"
63,Akoya,"Calliostomatinae is a subfamily of gastropods, belonging to the family Calliostomatidae.","Calliostoma sugitanii, Tristichotrochus aculeatus, Fautor, Calliostoma baccatum"
64,Akoya platinum,"Calliostomatinae is a subfamily of gastropods, belonging to the family Calliostomatidae.","Calliostoma sugitanii, Tristichotrochus aculeatus, Fautor, Calliostoma baccatum"
65,Albatrossia,"Albatrossia pectoralis, the giant grenadier or giant rattail, is a very large rattail, and the only member of the genus Albatrossia. It is found in the north Pacific from northern Japan to the Okhotsk and Bering Seas, east to the Gulf of Alaska, and south to northern Baja California in Mexico.","Grenadiers (fish), Patton Seamount"
66,Albatrossia pectoralis,"Albatrossia pectoralis, the giant grenadier or giant rattail, is a very large rattail, and the only member of the genus Albatrossia. It is found in the north Pacific from northern Japan to the Okhotsk and Bering Seas, east to the Gulf of Alaska, and south to northern Baja California in Mexico.","Grenadiers (fish), Patton Seamount"
67,Alciopidae,Alciopidae is a family of polychaetes belonging to the order Phyllodocida. Genera:.,"Polychaete, List of annelid families, List of Annelida of Ireland, List of polychaete worms of South Africa"
68,Alcockianum,Scalpellidae is a family of acorn barnacles in the order Scalpellomorpha. There are about 25 genera and 220 described species in Scalpellidae. Scalpellidae is a family of acorn barnacles in the order Scalpellomorpha. There are about 25 genera and 220 described species in Scalpellidae.,"List of Cirripedia genera, List of data deficient invertebrates, List of data deficient arthropods"
69,Alcockianum alcockianum,Scalpellidae is a family of acorn barnacles in the order Scalpellomorpha. There are about 25 genera and 220 described species in Scalpellidae. Scalpellidae is a family of acorn barnacles in the order Scalpellomorpha. There are about 25 genera and 220 described species in Scalpellidae.,"List of Cirripedia genera, List of data deficient arthropods, List of data deficient invertebrates"
70,Alcockianum sp.,Scalpellidae is a family of acorn barnacles in the order Scalpellomorpha. There are about 25 genera and 220 described species in Scalpellidae. Scalpellidae is a family of acorn barnacles in the order Scalpellomorpha. There are about 25 genera and 220 described species in Scalpellidae.,"List of Cirripedia genera, List of data deficient invertebrates, List of data deficient arthropods"
71,Alcyonacea,"Alcyonacea are a species of sessile colonial cnidarians that are found throughout the oceans of the world, especially in the deep sea, polar waters, tropics and subtropics. Whilst not in a strict taxonomic sense, Alcyonacea are commonly known as ""soft corals"" (Octocorallia) that are quite different from ""true"" corals (Scleractinia).","Octocorallia, Anthozoa, Leptophytidae, List of animals of Long Island Sound"
72,Alcyoniidae,Alcyoniidae is a family of leathery or soft corals in the phylum Cnidaria.,"Alcyonacea, Valdivian soft coral, Alcyonium digitatum, Alcyonium"
73,Aldrovandia,"Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans. Halosaurs are eel-shaped fishes found only at great ocean depths. As the family Halosauridae, halosaurs are one of two families within the order Notacanthiformes; the other being the deep-sea spiny eels, Notacanthidae.","Aldrovandia phalacra, Cthulhu, Aldrovandia gracilis, Speiredonia cthulhui"
74,Aldrovandia affinis,"Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans. Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans.","South Fiji Basin, List of fishes of India, List of marine animals of the Cape Peninsula and False Bay, List of least concern fishes"
75,Aldrovandia phalacra,"Aldrovandia phalacra, the 	Hawaiian halosaurid, is a species of ray-finned fish in the family Halosauridae. It is a circumglobal species found at bathyal depths. Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans.","Aldrovandia, Bear Seamount, List of fishes of India, List of marine animals of the Cape Peninsula and False Bay"
76,Aldrovandia rostrata,"Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans. Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans.","List of least concern fishes, List of fishes of India, List of marine animals of the Cape Peninsula and False Bay, List of marine bony fishes of South Africa"
77,Aldrovandia sp.,"Aldrovandia is a genus of ray-finned fish in the family Halosauridae. They occur in the Pacific, Atlantic, and Indian Oceans. Halosaurs are eel-shaped fishes found only at great ocean depths. As the family Halosauridae, halosaurs are one of two families within the order Notacanthiformes; the other being the deep-sea spiny eels, Notacanthidae.","Aldrovandia phalacra, Cthulhu, Aldrovandia gracilis, Speiredonia cthulhui"
78,Alepisaurus ferox,"Alepisaurus ferox, the long snouted lancetfish, longnose lancetfish, or cannibal fish, is a species of lancetfish found in the ocean depths down to 1,830 m (6,000 ft). This species grows to 215 cm (85 in) in total length and a weight of 9 kg (20 lb).","Lancetfish, Blue shark, USS Lancetfish, List of largest fish"
79,Alepocephalidae,"Slickheads, also known as nakedheads or smoothheads, are deep water fishes that belong to the family Alepocephalidae. They are most commonly found in the bathypelagic layer, which is approximately 3000m below the surface.","Black scabbardfish, Narcetes shonanmaruae, Alepocephaliformes, List of fish families"
80,Alepocephalus tenebrosus,"Alepocephalus is a genus of slickheads found in all oceans. Slickheads, also known as nakedheads or smoothheads, are deep water fishes that belong to the family Alepocephalidae. They are most commonly found in the bathypelagic layer, which is approximately 3000m below the surface.","Alepocephalidae, Alepocephaliformes"
81,Alicia,"Aliciidae is a family of sea anemones, comprising the following genera:. Metridioidea is a superfamily of sea anemones in the order Actiniaria. The Enthemonae is a suborder of sea anemones in the order Actiniaria. It comprises those sea anemones with typical arrangement of mesenteries for actiniarians.","Alicia, Alicia mirabilis, Alicia pretiosa, List of sea anemone families"
82,Allocentrotus fragilis,"Strongylocentrotus fragilis is a species of sea urchin of the family Strongylocentrotidae. The Strongylocentrotidae are a family of sea urchins in the order Echinoida. Corilla odontophora is a species of air-breathing land snail, a terrestrial pulmonate gastropod mollusk in the family Corillidae.","Sea urchins of the Gulf of California, Amblypneustes elevatus, Bald sea urchin disease, Heceta Bank"
83,Alopias superciliosus,"The bigeye thresher (Alopias superciliosus) is a species of thresher shark, family Alopiidae, found in temperate and tropical oceans worldwide. Like the other thresher sharks, nearly half its total length consists of the elongated upper lobe of the tail fin.","Thresher shark, Common thresher, Lamniformes, Longfin mako shark"
84,Alternatipathes,"Alternatipathes is a genus of corals belonging to the family Schizopathidae. Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).","Alternatipathes bipinnata, Schizopathidae, Black coral"
85,Alternatipathes alternata,"Alternatipathes is a genus of corals belonging to the family Schizopathidae. Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).","Hexacorallia, Cozumel, Coral, Anthozoa"
86,Alternatipathes bipinnata,"Alternipathes bipinnata is a species of coral belonging to the family Schizopathidae. It has been found off the Pacific coast of Mexico. Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Alternatipathes
87,Alternatipathes cf. alternata,"Alternatipathes is a genus of corals belonging to the family Schizopathidae. Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).","Hexacorallia, Cozumel, Coral, Anthozoa"
88,Alviniconcha hessleri,"Alviniconcha is a genus of deep water sea snails, marine gastropod mollusks in the family Provannidae. These snails are part of the fauna of the hydrothermal vents in the Indian and Western Pacific Ocean.","Campylobacterota, Provannidae, Abyssochrysoidea"
89,Amathillopsis,Amathillopsidae is a family of crustaceans belonging to the order Amphipoda. Genera:., 
90,Amathillopsis annectens,Amathillopsidae is a family of crustaceans belonging to the order Amphipoda. Genera:., 
91,Amblyraja hyperborea,"The Arctic skate (Amblyraja hyperborea) is a species of fish in the family Rajidae. It lives near the seabed between 140 and 2,500 m deep in the Arctic Ocean and waters around Canada and northern and north-western Europe, in the northern Pacific Ocean, and in waters surrounding Antarctica and New Zealand.","Amblyraja, Skate (fish), Deep sea, List of fishes of Great Britain"
92,Amperima rosea,"Amperima rosea is a species of sea cucumber in the family Elpidiidae. It is found on the seabed at abyssal depths of 4,000 m (2.",Porcupine Abyssal Plain
93,Amphianthus,"Amphianthus is a genus of sea anemones. It is the only genus in the monotypic family Amphianthidae. Chunellidae is a family of sea pens, a member of the subclass Octocorallia in the phylum Cnidaria.","Amphianthus dohrnii, Gratiola amphiantha, Stone Mountain, Scrophulariaceae"
94,Amphianthus sp.,"Amphianthus is a genus of sea anemones. It is the only genus in the monotypic family Amphianthidae. Chunellidae is a family of sea pens, a member of the subclass Octocorallia in the phylum Cnidaria.","Amphianthus dohrnii, Gratiola amphiantha, Stone Mountain, Scrophulariaceae"
95,Amphidiscella,Amphidiscella is a genus of sea sponge in the family Euplectellidae. Saccocalyx is a genus of sponge belonging to the family Euplectellidae. The species of this genus are found in the Pacific Ocean.,"Amphidiscella hosiei, Amphidiscella lecus, Euplectellidae, Jane Fromont"
96,Amphidiscella sp.,Amphidiscella is a genus of sea sponge in the family Euplectellidae. Saccocalyx is a genus of sponge belonging to the family Euplectellidae. The species of this genus are found in the Pacific Ocean.,"Amphidiscella hosiei, Amphidiscella lecus, Euplectellidae, Jane Fromont"
97,Amphipoda,Amphipoda () is an order of malacostracan crustaceans with no carapace and generally with laterally compressed bodies. Amphipods () range in size from 1 to 340 millimetres (0.,"Glyphipterix amphipoda, Phronima, Americorchestia, Martensia martensi"
98,Anarrhichthys ocellatus,"The wolf eel (Anarrhichthys ocellatus) is a species of marine ray-finned fish belonging to the family Anarhichadidae, the wolf fishes. It is found in the North Pacific Ocean.","Anarhichadidae, Chrysaora fuscescens, FAM180b, List of fishes of the Salish Sea"
99,Anchinothria fissurata,The Onuphidae are a family of polychaete worms., 
100,anchor,anchor equipment, 
101,Anemone,Anemone () is a genus of flowering plants in the buttercup family Ranunculaceae. Plants of the genus are commonly called windflowers.,"Sea anemone, Anémone, Clownfish, Wood anemone"
102,Anguilliformes,"Eels are ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage and are usually predators.","Saccopharyngiforms, Ophichthidae, List of fish of the Mediterranean Sea, List of fish in Sweden"
103,Animalia,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia. With few exceptions, animals consume organic material, breathe oxygen, have myocytes and are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development.","Animalia (disambiguation), Animalia (film), Animalia (book), Animalia Paradoxa"
104,Annelida,"The annelids  (Annelida , from Latin anellus, ""little ring""), also known as the segmented worms, are a large phylum, with over 22,000 extant species including ragworms, earthworms, and leeches. The species exist in and have adapted to various ecologies – some in marine environments as distinct as tidal zones and hydrothermal vents, others in fresh water, and yet others in moist terrestrial environments.","Leech, Oligochaeta, Osedax, Worm"
105,Anomura,"Anomura (sometimes Anomala) is a group of decapod crustaceans, including hermit crabs and others. Although the names of many anomurans include the word crab, all true crabs are in the sister group to the Anomura, the Brachyura (the two groups together form the clade Meiura).","Carcinisation, Decapoda, Crab, Hermit crab"
106,Anoplogaster cornuta,"Anoplogaster cornuta, the common fangtooth, is a species of deep sea fish found in temperate and tropical oceans worldwide. It is found at depths of from 2 to 5,000 metres (10 to 16,400 ft) with the adults usually found from 500 to 5,000 metres (1,640 to 16,400 ft) and the young usually found near the surface.","Fangtooth, Deep-sea fish, Pelagic fish, List of fishes of Great Britain"
